"team","season","qb_p","team_avg_qb_spend","spend_above_avg"
Buffalo Bills,2020,0.044,0.051,-0.007
Detroit Lions,2015,0.129,0.136,-0.007
Cleveland Browns,2015,0.056,0.063,-0.007
Miami Dolphins,2020,0.069,0.076,-0.007
Miami Dolphins,2014,0.068,0.076,-0.008
Jacksonville Jaguars,2021,0.049,0.057,-0.008
New York Jets,2020,0.054,0.062,-0.008
Detroit Lions,2014,0.128,0.136,-0.008
Green Bay Packers,2016,0.128,0.137,-0.009
Pittsburgh Steelers,2017,0.126,0.135,-0.009
New York Giants,2015,0.106,0.116,-0.010
Indianapolis Colts,2022,0.106,0.116,-0.010
Miami Dolphins,2021,0.066,0.076,-0.010
Pittsburgh Steelers,2013,0.125,0.135,-0.010
Chicago Bears,2021,0.083,0.094,-0.011
Green Bay Packers,2017,0.126,0.137,-0.011
New York Jets,2019,0.05,0.062,-0.012
Green Bay Packers,2018,0.125,0.137,-0.012
New York Jets,2017,0.05,0.062,-0.012
Chicago Bears,2020,0.082,0.094,-0.012
Atlanta Falcons,2020,0.109,0.122,-0.013
Tennessee Titans,2021,0.066,0.079,-0.013
Buffalo Bills,2013,0.038,0.051,-0.013
Houston Texans,2015,0.044,0.057,-0.013
Green Bay Packers,2020,0.124,0.137,-0.014
Buffalo Bills,2019,0.036,0.051,-0.015
Cincinnati Bengals,2021,0.054,0.071,-0.016
Houston Texans,2019,0.042,0.057,-0.016
Cincinnati Bengals,2022,0.054,0.071,-0.016
Washington Football Team,2021,0.074,0.091,-0.016
Detroit Lions,2020,0.12,0.136,-0.016
Miami Dolphins,2018,0.059,0.076,-0.017
Tampa Bay Buccaneers,2016,0.053,0.070,-0.017
Los Angeles Rams,2019,0.063,0.081,-0.018
New York Jets,2021,0.044,0.062,-0.018
Tennessee Titans,2017,0.062,0.079,-0.018
Chicago Bears,2019,0.075,0.094,-0.019
Houston Texans,2014,0.037,0.057,-0.020
Los Angeles Rams,2016,0.061,0.081,-0.020
New York Jets,2014,0.041,0.062,-0.021
Carolina Panthers,2020,0.079,0.101,-0.022
Arizona Cardinals,2021,0.061,0.083,-0.022
Philadelphia Eagles,2017,0.048,0.071,-0.023
Buffalo Bills,2018,0.028,0.051,-0.023
Miami Dolphins,2015,0.053,0.076,-0.023
San Diego Chargers,2016,0.111,0.134,-0.023
Tennessee Titans,2018,0.055,0.079,-0.024
Buffalo Bills,2015,0.026,0.051,-0.025
Los Angeles Chargers,2020,0.066,0.091,-0.025
Kansas City Chiefs,2014,0.066,0.092,-0.026
Atlanta Falcons,2019,0.096,0.122,-0.026
New York Jets,2015,0.036,0.062,-0.026
Tampa Bay Buccaneers,2015,0.042,0.070,-0.028
Miami Dolphins,2013,0.047,0.076,-0.029
Cleveland Browns,2013,0.034,0.063,-0.029
Tampa Bay Buccaneers,2014,0.041,0.070,-0.029
Tennessee Titans,2013,0.051,0.079,-0.029
Tennessee Titans,2016,0.049,0.079,-0.031
Cincinnati Bengals,2020,0.04,0.071,-0.031
Los Angeles Rams,2018,0.049,0.081,-0.032
Houston Texans,2018,0.025,0.057,-0.032
Arizona Cardinals,2013,0.05,0.083,-0.033
Green Bay Packers,2013,0.105,0.137,-0.033
Denver Broncos,2021,0.039,0.073,-0.034
Tennessee Titans,2014,0.045,0.079,-0.034
Houston Texans,2017,0.023,0.057,-0.034
Atlanta Falcons,2013,0.088,0.122,-0.034
Chicago Bears,2018,0.06,0.094,-0.034
Detroit Lions,2017,0.102,0.136,-0.034
Las Vegas Raiders,2022,0.098,0.133,-0.035
Carolina Panthers,2014,0.066,0.101,-0.035
Arizona Cardinals,2020,0.048,0.083,-0.035
Los Angeles Rams,2017,0.046,0.081,-0.035
Denver Broncos,2019,0.037,0.073,-0.036
Baltimore Ravens,2013,0.06,0.096,-0.036
